Document;xPath;Element;Name;Cardinality;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:ItemInstance/cbc:ManufactureDate;cbc:ManufactureDate;Item manufactured date;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:ItemInstance/cbc:BestBeforeDate;cbc:BestBeforeDate;Item best before date;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:ItemInstance/cbc:SerialID;cbc:SerialID;Item serial numbers;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:ItemInstance/cac:LotIdentification;cac:LotIdentification;Lot identifictation;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:ItemInstance/cac:LotIdentification/cbc:LotNumberID;cbc:LotNumberID;Item batch number;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Item/cac:ItemInstance/cac:LotIdentification/cbc:ExpiryDate;cbc:ExpiryDate;Item expiry date;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment;cac:Shipment;Shipment information;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cbc:ID;cbc:ID;Shipment identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit;cac:TransportHandlingUnit;Transport handling unit information;0..n;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cbc:ID;cbc:ID;Handling unit identifier;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cbc:TransportHandlingUnitTypeCode;cbc:TransportHandlingUnitTypeCode;Handling unit type;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cbc:HazardousRiskIndicator;cbc:HazardousRiskIndicator;Handling unit hazardous indicator;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cbc:ShippingMarks;cbc:ShippingMarks;Handling unit shipping marks;0..n;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cac:MeasurementDimension;cac:MeasurementDimension;Measurement dimentions;0..n;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cac:MeasurementDimension/cbc:AttributeID;cbc:AttributeID;Attribute identifier;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cac:MeasurementDimension/cbc:Measure;cbc:Measure;Handling unit gross weight or handling unit gross volume;0..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cac:MeasurementDimension/cbc:Measure@unitCode;unitCode;Handling unit gross weight or volume unit of measure;1..1;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cac:Package;cac:Package;Package information;0..n;
ubl:DespatchAdvice;/cac:DespatchLine/cac:Shipment/cac:TransportHandlingUnit/cac:Package/cbc:ID;cbc:ID;Package identifier;1..1;
